11900111 0305 S37W58 B            5865 BXO  5 10  10 9001 6.4 9001 6.4     3LEAR
11900111 1318 S37W61 B            5865 BXO  4 12  10 9001 6.6 9001 6.4 657 3RAMY
11900111 1505 S37W58 B            5865 BXO  5 10  10 9001 6.9 9001 6.4 581 3LEAR
11900111 1525 S36W63 B            5865 BXO  3 12  10 9001 6.6 9001 6.4     4HOLL
11900112 1250 S37W70 B            5865 BXO  3  3  10 9001 6.9 9001 6.4 657 4RAMY
11900103 1329 N23E40 B            5873 BXO  3  3  10 9001 6.6 9001 6.8 007 3RAMY
11900104 0035 N24E35 B            5873 CRO  3  3  30 9001 6.7 9001 6.8 005 2LEAR
11900104 0908 N25E30 B            5873 DAO  6  3  70 9001 6.7 9001 6.8 007 3SVTO
11900104 1415 N24E28 B            5873 DAO 12  6  90 9001 6.7 9001 6.8 007 3RAMY
11900104 1545 N24E26 B            5873 DAO  3  5 100 9001 6.7 9001 6.8 460 2BOUL
11900104 1655 N25E26 B            5873 BXO 11  5  30 9001 6.7 9001 6.8 007 4HOLL
11900104 1911 N25E26 B            5873 BXO  8  6  30 9001 6.8 9001 6.8 007 3PALE
11900105 1005 N23E17 B            5873 DAI 17  7 140 9001 6.7 9001 6.8 007 3SVTO
11900105 1530 N25E14 B            5873 DAO 12  7  50 9001 6.7 9001 6.8 007 3RAMY
11900105 1550 N26E09 B            5873 DSO  7  7  90 9001 6.3 9001 6.8 460 3BOUL
11900105 1752 N24E12 B            5873 BXO 17  8  30 9001 6.7 9001 6.8 007 3HOLL
11900105 1906 N24E11 B            5873 BXO 11  8  30 9001 6.6 9001 6.8 007 3PALE
11900106 0037 N23E12 B            5873 CAO 13  8  60 9001 6.9 9001 6.8 005 3LEAR
11900106 0745 N24E05 B            5873 CRO 10  8  70 9001 6.7 9001 6.8 007 4SVTO
11900106 1245 N25E03 B            5873 CAO 13  8  90 9001 6.8 9001 6.8 007 3RAMY
11900106 1655 N24W04 B            5873 BXO  6  2  10 9001 6.4 9001 6.8 460 2BOUL
11900106 1930 N23W06 B            5873 CRO  8  4  20 9001 6.3 9001 6.8 007 3PALE
11900107 0030 N24W09 B            5873 CRO  6  3  30 9001 6.3 9001 6.8 005 3LEAR
11900107 0255 N24W11 A            5873 HR   4  2  20 9001 6.3 9001 6.8 882 1CULG
11900107 0925 N24W13 A            5873 AX   6  2  40 9001 6.4 9001 6.8 007 2SVTO
11900107 1435 N23W16 B            5873 CRO  7  4  40 9001 6.4 9001 6.8 007 3RAMY
11900107 1600 N25W17 B            5873 BXO  5  3  20 9001 6.3 9001 6.8 007 3HOLL
11900107 1706 N24W17 B            5873 BXO  5  2     9001 6.4 9001 6.8 460 2BOUL
11900110 0035 N27W43 B            5873 CAO  9  4  70 9001 6.7 9001 6.8 012 3LEAR
11900110 0116 N27W46 B            5873 CAO  9  5  40 9001 6.5 9001 6.8 882 2CULG
11900110 1439 N28W51 B            5873 DAI 15  8 290 9001 6.6 9001 6.8 007 3RAMY
11900110 1515 N28W54 B            5873 DAO  2  9 260 9001 6.4 9001 6.8 467 1BOUL
11900110 1730 N27W52 B            5873 DSO  9  8 250 9001 6.7 9001 6.8     1HOLL
11900110 2000 N27W54 B            5873 DAO  7  8 140 9001 6.6 9001 6.8 007 3PALE
11900111 0305 N25W57 B            5873 DAO 11  9 270 9001 6.7 9001 6.8 012 3LEAR
11900111 1318 N26W62 B            5873 DAO  9 10 250 9001 6.7 9001 6.8 007 3RAMY
11900111 1517 N27W69 B            5873 EKO  3 15 370 9001 6.3 9001 6.8 467 1BOUL
11900111 1525 N26W66 B            5873 DSO  9 10 180 9001 6.5 9001 6.8     4HOLL
11900111 1933 N27W66 B            5873 DAO  6  8 170 9001 6.7 9001 6.8 007 3PALE
11900112 0055 N26W71 B            5873 DKO  7 10 240 9001 6.5 9001 6.8 882 2CULG
11900112 0145 N24W68 B            5873 DAO  6  9 250 9001 6.8 9001 6.8 012 3LEAR
